feature,matrix_correlation
fl_pay_doc_blc_2d,0
fl_p_doc_2d,0
phcpf_tcs_cbp_7d,0
vop_rej_hrisk_qty_30d,0
phtc_qty_same_collector_1h,0
vop_ratio_rej_hrisk_qty_30d,0
phcpf_amt_750_cbk_15d,0
phd_dist_users_3d,0
phtc_amt_recharge_15d,0
fl_hap_tc_45d,0
phtc_qty_installments_5_7d,0
phcpf_count_custs,0
ph_oro_30d,0
bin_ib_hipercard,0
fl_device_ml_7d,0
ctx_receiver_id_186426653,0
phtc_pays_approb_tc_30d,0
dml_section_reg,0
vop_approv_amount_af_dc_7d,0
ctx_client_id_1784494622246174,0
dml_has_plugin_java,0
bin_ib_del_monterrey,0
phcpf_tcs_cbp_15d,0
phtc_dist_dml_no_free_pass_user_same_collector_12h,0
phcpf_amt_300_imp_90d,0
pr_tpv_intangible_1d_total,0
phtc_qty_ro_7d,0
nmdml_model_sm_g925i,0
phcpf_amt_150_ref_1d,0
fl_np_doc_2d,0
dml_ips_qty,0
ph_amt_750_rcfa_30d,0
bin_ib_safra,0
phtc_qty_app_same_collector_1h,0
ctx_receiver_id_343516088,0
ph_amt_150_ria_1d,0
ph_amt_50_ro_1d,0
ctx_receiver_id_low_risk_tickets,0
ph_pays_approb_60d,0
phtc_amt_25_ip_o_7d,0
phtc_count_users_1d,0
phtc_dist_doc_new_30d,0
phtc_dist_doc_new_rej_15d,0
ph_amt_750_cbk_90d,0
bin_ib_mercantil,0
ph_amt_150_ref_7d,0
phd_dist_users_new_30d,0
phcpf_count_custs_new_rej_15d,0
phcpf_amt_50_rcfa_1d,0
phcpf_tcs_rhr_30d,0
phtc_amt_50_bf_30d,0
ctx_ind_bus_tickets,0
chn_app_avg_distance_low_100,0
phtc_qty_c_7d,0
ctx_client_id_6265599018097609,0
phd_dist_new_user_no_free_pass_tc_recharge_90d,0
fl_sell_doc_grl_7d,0
phd_qty_7d,0
nmdml_hit_bet_50_60,0
phd_qty_30m,0
ctx_ship_mode_is_to_be_agreed,0
phcpf_amt_150_rcfa_90d,0
ctx_client_id_2108821276507303,0
ph_amt_app_acc_30m,0
phd_qty_new_user_same_collector_12h,0
vop_ratio_bpp_ref_amount_7d,0
ctx_client_id_6794327405157763,0
fl_wit_device_blc,0
phcpf_tcs_ip_o_7d,0
ctx_receiver_id_high_risk_universities,0
phd_dist_tcs_60d,0
ctx_op_type_regular_payment,0
phcpf_amt_50_imp_15d,0
ph_tcs_ip_o_30d,0
phtc_qty_installments_great_12_90d,0
nmdml_model_sm_g610m,0
vop_digcry_qty_30d,0
phd_diff_avg_same_collector_7d,0
phtc_count_users_hap_n_new_90d,0
