feature,missing_values
ph_qty_ip_o_1d,1.0
ctx_receiver_id_152386335,1.0
ctx_client_id_3867949814696343,1.0
ctx_client_id_3148,1.0
ph_amt_750_ip_prm_90d,1.0
ph_log_veloc_1h,1.0
cl_nickname_changes_qty_90d,1.0
phcpf_amt_750_ip_o_30d,1.0
bin_ib_banco_nacion,1.0
ctx_receiver_id_low_risk_binary_bus_tickets,1.0
ctx_receiver_id_cbk_qty_50,1.0
ph_qty_ip_o_30d,1.0
fl_p_street_number_15d,1.0
phtc_count_users_same_seller_new_3d,1.0
ctx_marketplace_id_mp-mkt-6097,1.0
nmdml_model_null,1.0
fl_street_number_90d,1.0
fl_p_zip_code_30d,1.0
fl_gp_cc_p,1.0
ctx_is_movistar,1.0
bin_ib_adm_de_carto,1.0
bin_ib_del_monterrey,1.0
ctx_receiver_id_186426653,1.0
ctx_client_id_5950,1.0
phtc_amt_750_imp_30d,1.0
ctx_receiver_id_367767987,1.0
bin_ib_occidente,1.0
fl_gp_cc_l,1.0
ph_amt_1000_ip_o_60d,1.0
ctx_marketplace_id_mp-mkt-5184134718964709,1.0
phcpf_amt_750_ip_prm_15d,1.0
ph_amt_150_cbk_60d,1.0
ctx_client_id_7284796636592209,1.0
ctx_op_type_money_transfer,1.0
dml_section_creditcard,1.0
ph_amt_50_cbk_7d,1.0
ctx_receiver_id_254454413,1.0
ctx_receiver_id_315991938,1.0
ctx_receiver_id_179564937,1.0
phtc_amt_750_cbk_90d,1.0
bin_has_standard_card,1.0
fl_pay_doc_ato_15d,1.0
phphone_tcs_ip_prm_90d,1.0
ctx_receiver_id_326766165,1.0
ctx_client_id_7443523560447102,1.0
dml_os_linux,1.0
ph_qty_ip_o_7d,1.0
bin_ib_bogota,1.0
ctx_client_id_6794327405157763,1.0
ctx_receiver_id_254303242,1.0
ctx_receiver_id_high_risk_lighthouses,1.0
ctx_client_id_2391688200332582,1.0
phphone_tcs_ip_prm_30d,1.0
ph_amt_500_ip_o_90d,1.0
bin_ib_porto_seguro,1.0
ctx_receiver_id_tickets_3,1.0
fl_sell_device_grl_30d,1.0
ctx_ship_mode_is_me,1.0
ctx_client_id_1505,1.0
ctx_receiver_id_295153733,1.0
phtc_amt_150_ip_o_30d,1.0
vop_ratio_cbk_amount_7d,1.0
ctx_marketplace_id_mp-mkt-444029799156223,1.0
