feature,unique_value
fl_pay_device_ato_15d,False
phtc_amt_500_app_acc_90d,False
phtc_pays_approb_tc_70d,False
ctx_client_id_8706727656851099,True
ph_diff_avg_same_collector_6h,False
ph_amt_1000_c_60d,True
ph_amt_500_app_acc_90d,False
chn_min_first_pay_less_15d,False
phcpf_amt_cbk_60d,False
fl_hap_tc_60d,False
phtc_qty_installments_3_30d,False
phcpf_hap_doc_number_80d,False
ph_qty_cbk_state_60d,False
ctx_receiver_id_314387331,True
phd_approv_qty,False
ph_amt_same_collector_15d,False
phtc_qty_ro_90d,False
vop_ratio_qty_3d_7d,False
fl_pay_doc_ato_7d,True
nmdml_m_sony,True
ctx_item_cond_used,True
fl_p_street_number_90d,True
ph_amt_150_bf_30d,False
ph_console_30d,False
phcpf_pays_approb_doc_number_65d,False
ph_qty_ref_1d,False
fl_wit_doc_blc_2d,False
phcpf_amt_150_c_90d,False
nmdml_has_one_device_family_ios,True
phtc_qty_c_1d,False
ctx_client_id_1077629775864813,True
bin_amt_avg_7d,False
phcpf_qty_app_acc_15d,False
ph_amt_round_ratio_30d,False
dml_hash_is_null,True
crosses_qty_1h_od_user_count,False
phcpf_is_missing,False
phtc_amt_imp_7d,False
fl_list_device_grl_30d,True
phtc_count_users_new_rej_15d,False
fl_pay_doc_blc_2d,False
ph_avg_amount_90d,False
fl_p_name,True
phphone_qty_c_1d,False
ph_amt_recharge_15d,False
ctx_receiver_id_266613830,True
phd_qty_app_same_collector_7d,False
phtc_amt_150_cbk_7d,True
ph_amt_ref_7d,False
ph_qty_same_rec_rate_15d_90d,False
phd_amt_same_collector_rate_15d_90d,False
phtc_amt_500_cbk_7d,True
dml_is_missing,True
phtc_amt_500_ref_7d,True
cl_is_missing,False
ph_tcs_ip_o_1d,True
phd_qty_same_collector_rate_12h_90d,False
phtc_amt_150_rcfa_30d,False
ph_qty_rcfa_30d,False
phtc_amt_150_c_1d,False
phcpf_tcs_imp_7d,True
phtc_qty_app_same_collector_90d,False
pr_tpn_envio_dinero_7d_total,False
ph_amt_150_app_acc_1d,False
dml_ua_is_windows,True
fl_p_doc_90d,False
ctx_receiver_id_high_risk_flex_default,True
phcpf_qty_same_collector_12h,False
phtc_avg_amount_7d,False
ph_rate_amt_new_dml_15d_90d,False
vop_digcry_rej_qty_3d,False
phtc_amt_50_app_acc_30d,False
op_amount_by_recv,False
phtc_amt_imp_90d,False
ph_tcs_ref_90d,False
fl_p_cust_30d,False
crosses_qty_1h_od_fraud_maybe_user_count,False
phtc_amt_150_ref_90d,False
