feature,shapley_value
random_value,2.8677442
is_restricted,1.5624479
cbk,0.9577893
points,0.36900777
risk,0.14053474
cust_id,0.11136495
tpay_dcard_accfund_qty_30d,0.061488785
tpay_fp_tc_any_n_app_max_amt_90d,0.06140647
tpay_as_payer_all_regular_qty_7d,0.045049947
tpay_all_accfund_qty_30d,0.043450143
tpay_fp_dev_n_rej_amt_90d,0.037475273
tpay_dcard_accfund_amt_1d,0.03696179
tpay_as_payer_all_regular_rej_amt_90d,0.035955247
tpay_all_app_min_amt_90d,0.035273965
anch_min_dist,0.033239614
tpay_all_app_max_amt_90d,0.029546138
tpay_as_payer_all_regular_app_amt_7d,0.027149122
tpay_fp_tc_any_n_rej_hr_qty_7d,0.025713691
tpay_all_accfund_amt_30d,0.02454864
tpay_all_accfund_qty_7d,0.02442245
tpay_as_payer_all_regular_app_amt_90d,0.023462955
tpay_as_payer_accmoney_regular_amt_30d,0.023433577
tpay_fp_tc_n_app_amt_90d,0.023429401
tpay_fp_tc_n_rej_qty_7d,0.023088494
anch_max_dist,0.022971677
tpay_all_accfund_amt_90d,0.022675863
tpay_all_accfund_amt_1d,0.022634342
tpay_as_payer_accmoney_regular_amt_90d,0.021967184
tpay_fp_tc_n_rej_hr_amt_7d,0.021675307
anch_app_pay_qty,0.021495393
tpay_fp_dev_n_app_amt_90d,0.020513691
tpay_fp_tc_any_y_app_qty_30d,0.019974705
tpay_new_dev_rej_hr_amt_90d,0.019622156
anch_pay_qty,0.01931603
tpay_as_payer_card_regular_rej_amt_90d,0.019126194
tpay_fp_dev_n_app_amt_30d,0.019028671
tpay_fp_tc_n_rej_hr_qty_90d,0.018898973
tpay_dcard_accfund_amt_90d,0.018807331
tpay_as_payer_fp_tc_n_app_amt_7d,0.018490799
tpay_all_app_amt_7d,0.018175825
tpay_all_accfund_amt_7d,0.01721836
tpay_all_app_min_amt_1d,0.017067168
tpay_dcard_accfund_qty_90d,0.016300214
tpay_all_rej_distinct_users_1d,0.015500472
tpay_all_app_max_amt_30d,0.0069304174
tpay_fp_tc_n_rej_hr_amt_90d,0.006833264
tpay_fp_tc_any_n_app_max_amt_30d,0.004906813
tpay_all_app_qty_90d,0.004607289
tpay_fp_dev_y_app_amt_90d,0.0034682888
tpay_as_payer_fp_dev_n_app_qty_90d,0.0034357274
tpay_as_payer_fp_tc_any_n_app_qty_30d,0.003260527
tpay_as_payer_fp_tc_n_app_amt_90d,0.003084147
tpay_as_payer_fp_doc_n_app_amt_30d,0.0030587178
tpay_dcard_accfund_app_qty_7d,0.0023165
tpay_dcard_accfund_qty_7d,0.0021430054
tpay_fp_tc_any_n_rej_hr_amt_7d,0.0014637121
tpay_as_payer_fp_dev_n_app_amt_1d,0.0013288566
tpay_dcard_accfund_app_amt_30d,0.0013250445
tpay_new_dev_rej_hr_qty_7d,0.0013033799
anch_avg_dist,0.0012720603
tpay_fp_tc_any_n_rej_hr_amt_1d,0.0009971149
tpay_fp_dev_n_app_qty_90d,0.00068595365
tpay_new_dev_ratio_over_registered_1d,0.0
tpay_as_payer_accmoney_regular_canc_qty_1d,0.0
tpay_as_payer_all_transfer_amt_1d,0.0
tpay_fp_all_n_app_qty_7d,0.0
tpay_fp_tc_any_n_app_amt_30d,0.0
growth_rate_1h_od_2d,0.0
tpay_new_dev_rej_hr_amt_30d,0.0
growth_rate_1h_ht_15d,0.0
tpay_new_user_app_max_amt_7d,0.0
tpay_new_dev_app_avg_amt_30d,0.0
tpay_d0_app_amt_30d,0.0
tpay_new_user_app_amt_30d,0.0
tpay_as_payer_fp_dev_y_app_qty_90d,0.0
tpay_fp_doc_n_app_amt_7d,0.0
crosses_qty_1h_ht_user_count,0.0
tpay_as_payer_ticket_regular_qty_30d,0.0
tpay_card_transfer_app_distinct_users_30d,0.0
tpay_fp_user_n_app_max_amt_1d,0.0
tpay_all_transfer_canc_amt_90d,0.0
tpay_card_regular_qty_1d,0.0
tpay_all_regular_rej_amt_7d,0.0
tpay_fp_all_n_rej_qty_1d,0.0
tpay_off_rej_hr_max_amt_90d,0.0
tpay_ticket_regular_app_amt_7d,0.0
tpay_card_regular_rej_amt_30d,0.0
tpay_d0_app_amt_7d,0.0
tpay_fp_tc_n_app_qty_1d,0.0
tpay_off_app_max_amt_1d,0.0
tpay_new_dev_app_qty_7d,0.0
tpay_on_rej_hr_max_amt_90d,0.0
tpay_as_payer_ticket_regular_distinct_users_1d,0.0
tpay_new_dev_app_max_amt_30d,0.0
tpay_as_payer_accmoney_regular_rej_amt_30d,0.0
tpay_guest_app_distinct_users_90d,0.0
tpay_as_payer_fp_tc_y_app_distinct_users_7d,0.0
tpay_card_regular_canc_qty_90d,0.0
tpay_off_ratio_over_total_1d,0.0
tpay_as_payer_all_regular_qty_1d,0.0
tpay_fp_dev_n_rej_hr_distinct_users_30d,0.0
crosses_qty_1h_od_fraud_maybe_user_count,0.0
tpay_all_accfund_canc_amt_30d,0.0
tpay_fp_tc_n_rej_hr_qty_7d,0.0
tpay_qr_app_qty_7d,0.0
tpay_as_payer_ticket_regular_app_amt_1d,0.0
tpay_as_payer_fp_doc_n_app_qty_7d,0.0
tpay_accmoney_regular_app_qty_7d,0.0
tpay_as_payer_fp_dev_n_app_amt_30d,0.0
tpay_dcard_accfund_app_qty_30d,0.0
tpay_dcard_accfund_rej_qty_30d,0.0
tpay_qr_rej_hr_amt_90d,0.0
tpay_ticket_regular_app_qty_30d,0.0
tpay_new_user_app_distinct_users_30d,0.0
tpay_accmoney_transfer_qty_1d,0.0
tpay_on_rej_hr_qty_90d,0.0
tpay_card_regular_amt_30d,0.0
tpay_as_payer_card_transfer_amt_7d,0.0
tpay_off_rej_hr_qty_7d,0.0
tpay_as_payer_all_regular_app_qty_30d,0.0
tpay_as_payer_card_regular_cbk_qty_30d,0.0
tpay_as_payer_ticket_regular_app_qty_1d,0.0
tpay_as_payer_ticket_regular_canc_qty_90d,0.0
tpay_new_user_app_qty_1d,0.0
tpay_all_regular_app_distinct_users_90d,0.0
tpay_fp_all_n_rej_hr_qty_30d,0.0
tpay_all_regular_canc_qty_7d,0.0
tpay_as_payer_accmoney_transfer_qty_90d,0.0
tpay_all_accfund_canc_amt_90d,0.0
tpay_qr_app_distinct_users_30d,0.0
tpay_fp_tc_n_rej_hr_distinct_users_7d,0.0
tpay_as_payer_new_dev_app_distinct_users_30d,0.0
tpay_as_payer_card_regular_cbk_amt_30d,0.0
tpay_as_payer_card_regular_amt_30d,0.0
tpay_as_payer_card_regular_rej_qty_90d,0.0
tpay_registered_app_distinct_users_7d,0.0
tpay_as_payer_all_regular_rej_amt_30d,0.0
tpay_all_transfer_rej_amt_7d,0.0
tpay_fp_doc_n_app_max_amt_1d,0.0
tpay_fp_all_n_rej_hr_qty_90d,0.0
tpay_outbound_regular_app_qty_1d,0.0
tpay_as_payer_fp_tc_any_n_app_qty_7d,0.0
growth_rate_1h_oc_2d,0.0
tpay_fp_doc_n_app_distinct_users_90d,0.0
tpay_fp_dev_n_rej_hr_distinct_users_1d,0.0
tpay_as_payer_fp_doc_n_app_qty_1d,0.0
tpay_dcard_accfund_canc_amt_90d,0.0
tpay_d0_app_distinct_users_30d,0.0
tpay_dcard_accfund_rej_amt_7d,0.0
tpay_as_payer_accmoney_regular_qty_30d,0.0
tpay_fp_tc_any_y_app_amt_7d,0.0
tpay_fp_all_n_rej_hr_qty_7d,0.0
tpay_as_payer_accmoney_regular_rej_qty_7d,0.0
tpay_as_payer_card_regular_distinct_users_1d,0.0
tpay_as_payer_ticket_regular_app_amt_7d,0.0
tpay_off_rej_hr_amt_30d,0.0
tpay_fp_dev_y_app_distinct_users_7d,0.0
tpay_accmoney_regular_app_distinct_users_1d,0.0
tpay_all_regular_rej_amt_90d,0.0
tpay_fp_all_n_rej_hr_amt_30d,0.0
tpay_outbound_regular_amt_30d,0.0
tpay_all_accfund_canc_qty_90d,0.0
tpay_any_free_pass_ratio_over_total_1d,0.0
tpay_guest_rej_hr_distinct_users_30d,0.0
tpay_mpos_amt_90d,0.0
tpay_as_payer_fp_dev_y_app_qty_7d,0.0
tpay_all_transfer_amt_1d,0.0
tpay_as_payer_accmoney_transfer_rej_amt_90d,0.0
growth_rate_1h_oc_7d,0.0
tpay_all_accfund_app_amt_30d,0.0
tpay_new_dev_rej_hr_qty_30d,0.0
tpay_all_app_amt_1d,0.0
tpay_fp_tc_y_app_amt_90d,0.0
tpay_card_transfer_app_qty_90d,0.0
tpay_outbound_regular_app_qty_90d,0.0
tpay_as_payer_ticket_regular_canc_qty_7d,0.0
tpay_as_payer_all_transfer_app_amt_30d,0.0
tpay_fp_any_y_app_qty_30d,0.0
tpay_new_dev_rej_hr_qty_1d,0.0
tpay_accmoney_transfer_canc_qty_30d,0.0
tpay_fp_all_n_rej_amt_7d,0.0
tpay_off_app_distinct_users_1d,0.0
tpay_guest_rej_hr_qty_90d,0.0
tpay_as_payer_all_transfer_amt_30d,0.0
tpay_as_payer_card_regular_distinct_users_30d,0.0
growth_rate_1h_od_1d,0.0
tpay_new_dev_rej_hr_amt_1d,0.0
tpay_as_payer_fp_dev_y_app_amt_30d,0.0
tpay_as_payer_fp_dev_n_app_distinct_users_1d,0.0
tpay_off_app_amt_1d,0.0
tpay_new_dev_app_qty_1d,0.0
tpay_accmoney_transfer_app_distinct_users_90d,0.0
tpay_new_dev_ratio_over_total_1d,0.0
tpay_fp_tc_n_rej_qty_1d,0.0
tpay_fp_user_n_app_distinct_users_90d,0.0
tpay_as_payer_all_regular_canc_amt_1d,0.0
tpay_any_free_pass_ratio_over_free_pass_aplicable_30d,0.0
tpay_mpos_rej_qty_7d,0.0
tpay_as_payer_card_regular_cbk_qty_90d,0.0
tpay_fp_dev_n_rej_qty_1d,0.0
tpay_dcard_accfund_canc_qty_1d,0.0
tpay_new_dev_app_distinct_users_7d,0.0
